Latitude,Longitude,cluster
51.315053000000006,-2.215403,2
51.314221999999994,-2.21263,2
51.314221999999994,-2.21263,2
51.308043,-2.218454,2
51.307885,-2.230289,2
51.307885,-2.230289,2
51.293454,-2.238578,2
51.290966,-2.25041,2
51.295625,-2.198058,2
51.246807000000004,-2.204281,2
51.268178000000006,-2.1304,-1
51.279486,-2.097643,-1
51.266086,-2.1821650000000004,2
51.2724,-2.207849,2
51.265908,-2.186808,2
51.2724,-2.207849,2
51.260034999999995,-2.1873139999999998,2
51.253017,-2.1848349999999996,2
51.246584000000006,-2.203076,2
51.252018,-1.623324,-1
51.230296,-1.6593490000000002,-1
51.233078000000006,-1.6699419999999998,-1
51.240790999999994,-1.659773,-1
51.242203,-1.65684,-1
51.246019,-1.667199,-1
51.200669,-2.1582470000000002,-1
51.20005,-2.1637560000000002,-1
51.203621999999996,-1.807448,-1
51.201417,-2.2414080000000003,-1
51.230829,-2.2622709999999997,-1
51.1844,-2.1043950000000002,-1
51.1871,-2.274771,-1
51.178911,-2.203136,-1
51.177461,-1.7801330000000002,-1
51.170351000000004,-1.7719999999999998,-1
51.092262,-1.828786,3
51.04078,-2.177755,-1
51.081204,-1.830625,3
51.078181,-1.829651,3
51.074838,-1.786657,3
51.080863,-1.818821,3
51.077723999999996,-1.81308,3
51.084005,-1.9871720000000002,-1
51.084005,-1.9871720000000002,-1
51.070429,-1.817277,3
51.067206,-1.8146639999999998,3
51.070646,-1.790886,3
51.063137,-1.7758509999999998,3
51.100198999999996,-1.788725,3
51.067615,-1.790486,3
51.066902,-1.789234,3
51.040731,-1.7078229999999999,-1
51.099181,-1.730734,-1
51.057559999999995,-1.993914,-1
51.050166,-2.0238169999999998,-1
50.977759000000006,-1.634691,-1
50.976357,-1.6713220000000002,-1
50.989919,-1.760916,-1
50.988903,-1.743653,-1
50.992849,-1.751553,-1
53.922343999999995,-1.8098560000000001,-1
53.925495,-1.830872,-1
53.92705,-1.8189110000000002,-1
53.909482,-1.745966,4
53.910971999999994,-1.7536599999999998,4
53.916089,-1.7507830000000002,4
53.914283999999995,-1.747322,4
53.902537,-1.7432990000000002,4
53.916169999999994,-1.938898,4
53.914382999999994,-1.942463,4
53.913575,-1.944489,4
53.926389,-1.923259,4
53.895593000000005,-1.9511319999999999,4
53.893463,-1.951499,4
53.89599200000001,-1.9617069999999999,4
53.895329000000004,-1.9687990000000002,4
53.898341,-1.971384,4
53.898341,-1.971384,4
53.898015,-1.962695,4
53.900473,-1.9489040000000002,4
53.902079,-1.7432869999999998,4
53.899181000000006,-1.763408,4
53.887133999999996,-1.7318,4
53.88971899999999,-1.7343849999999998,4
53.887845999999996,-1.732678,4
53.887133999999996,-1.7318,4
53.890241,-1.7346099999999998,4
53.874990000000004,-1.849707,4
53.878565,-1.8477169999999998,4
53.875285,-1.8897540000000002,4
53.877376,-1.8865990000000001,4
53.876183999999995,-1.8996680000000001,4
53.878198,-1.890293,4
53.865207,-1.853878,4
53.869105000000005,-1.916079,4
53.876364,-1.924795,4
53.871391,-1.8977330000000001,4
53.873079000000004,-1.895311,4
53.873079000000004,-1.895311,4
53.871171999999994,-1.9044400000000001,4
53.871762,-1.900728,4
53.861045,-1.8963900000000002,4
53.856230000000004,-1.8990919999999998,4
53.860324,-1.8934419999999998,4
53.859947999999996,-1.885217,4
53.862494999999996,-1.888875,4
53.861829,-1.8886180000000001,4
53.862873,-1.889619,4
53.868829000000005,-1.9075630000000001,4
53.862906,-1.907698,4
53.861942000000006,-1.9172490000000002,4
53.86701600000001,-1.924857,4
53.867135,-1.9284310000000002,4
53.870813,-1.930493,4
53.868127,-1.918864,4
53.866575,-1.92393,4
53.865441000000004,-1.9206330000000003,4
53.862097999999996,-1.9221439999999999,4
53.856368999999994,-1.8307849999999999,4
53.858759,-1.8123639999999999,4
53.868153,-1.7716580000000002,4
53.878912,-1.7815169999999998,4
53.858976,-1.8444740000000002,4
53.86566,-1.849011,4
53.85949599999999,-1.915627,4
53.856153000000006,-1.915375,4
53.853149,-1.912781,4
53.848012,-1.9189779999999999,4
53.853882999999996,-1.921825,4
53.85396899999999,-1.757096,4
53.85309300000001,-1.768593,4
53.849235,-1.767824,4
53.851637,-1.773648,4
53.87026899999999,-1.938751,4
53.869393,-1.932168,4
53.846949,-1.9455639999999998,4
53.846949,-1.9455639999999998,4
53.85827,-1.847867,4
53.853238,-1.84185,4
53.85827,-1.847867,4
53.850905000000004,-1.8310509999999998,4
53.846915,-1.825504,4
53.846458,-1.8329990000000003,4
53.846812,-1.835232,4
53.842748,-1.834123,4
53.845180000000006,-1.757724,4
53.84562,-1.7711729999999999,4
53.842999,-1.773147,4
53.836406000000004,-1.716032,4
53.836406000000004,-1.716032,4
53.835413,-1.7105830000000002,4
53.842493999999995,-1.73318,4
53.842426,-1.734882,4
53.843945999999995,-1.73121,4
53.860372,-1.7375060000000002,4
53.83928,-1.7473029999999998,4
53.84046,-1.748466,4
53.83619300000001,-1.797239,4
53.83619300000001,-1.797239,4
53.836758999999994,-1.791993,4
53.834391000000004,-1.794771,4
53.835494999999995,-1.7989439999999999,4
53.832893999999996,-1.740898,4
53.832584,-1.738682,4
53.833693000000004,-1.740407,4
53.827940000000005,-1.7200090000000001,4
53.840977,-1.738204,4
53.8374,-1.7462959999999998,4
