longitude,latitude
-0.119277486,51.4470226
-0.119142504,51.44682268
-0.118970833,51.44657856
-0.118755939,51.44627359
-0.102076519,51.46593313
-0.102224657,51.46587609
-0.102114113,51.4660897
-0.102246454,51.46600135
-0.118505329,51.44613497
-0.111571601,51.46187566
-0.111633502,51.46185825
-0.111675249,51.46195854
-0.111735381,51.4619404
-0.093709894,51.47077059
-0.138910014,51.44484964
-0.13852858,51.44500657
-0.138048448,51.44502494
-0.118476611,51.44586757
-0.119459547,51.47913689
-0.120083133,51.47938473
-0.118291696,51.47870168
-0.09872533,51.46559261
-0.09866639,51.46556018
-0.098617715,51.46551892
-0.098584876,51.46548635
-0.116270247,51.46317752
-0.095401065,51.42661643
-0.116611538,51.46310585
-0.117069658,51.46306624
-0.119072457,51.43614542
-0.095159503,51.4266732
-0.117368636,51.46294608
-0.105222159,51.43395978
-0.105580894,51.43385351
-0.105893415,51.4337304
-0.095883946,51.4286829
-0.098528114,51.42619638
-0.117634029,51.46289164
-0.113836137,51.46460624
-0.113568675,51.4644589
-0.111881706,51.46423742
-0.112192065,51.46421727
-0.112455641,51.46428418
-0.112736078,51.46426958
-0.11296419,51.46419288
-0.113188545,51.46425087
-0.113384936,51.46435422
-0.095896261,51.42841806
-0.095995162,51.42886331
-0.096954987,51.42968789
-0.097183799,51.42983269
-0.097303641,51.43002546
-0.097542412,51.43018184
-0.09783159,51.43034964
-0.098156411,51.43050741
-0.098200002,51.42617033
-0.115228502,51.49774182
-0.138747143,51.43408087
-0.115500963,51.49651303
-0.114481817,51.4992031
-0.121930119,51.4204862
-0.13857842,51.43393823
-0.114611774,51.49898653
-0.115453402,51.49660914
-0.104945356,51.4255785
-0.115112055,51.49794922
-0.11525498,51.49791714
-0.102035498,51.4253986
-0.103647067,51.4255077
-0.101727477,51.42532484
-0.114625202,51.49897173
-0.115390852,51.4965972
-0.115415363,51.49648322
-0.115321352,51.49649211
-0.115244283,51.49646136
-0.11512734,51.49645864
-0.115165735,51.49637917
-0.104607981,51.42548055
-0.104252662,51.42554121
-0.103975849,51.42544661
-0.114637232,51.4989519
-0.114654313,51.49892614
-0.114668109,51.49890234
-0.114681741,51.49888253
-0.114695455,51.49886073
-0.114707772,51.49883389
-0.114723129,51.49881111
-0.114740087,51.49878835
-0.111912847,51.47129876
-0.104975429,51.45322848
-0.104784086,51.4530536
-0.104510316,51.45296327
-0.104145299,51.45284081
-0.094058741,51.46129609
-0.09444159,51.46139399
-0.0946711,51.46159636
-0.094938602,51.46163405
-0.095093773,51.46180604
-0.134943718,51.44144184
-0.134892127,51.44117721
-0.135059155,51.44093207
-0.135054575,51.44068908
-0.103915622,51.45276597
